Jokes,Offensive,Explicit
"I have a bunch of jokes about unemployed people. But unfortunately, none of them seem to work.",0,no
"My wife accused me of stealing her thesaurus. Not only was I shocked, I was appalled, aghast, and dismayed.",0,no
"I never believed in my chiropractor, but now I stand corrected.",0,no
"I got a new pair of gloves today, but they're both lefts, which on one hand is great.",0,no
My girlfriend keeps accusing me of cheating. She's starting to sound like my wife.,0,no
"Someone told me my fur coat is gay. I mean, it came out of the closet this morning, so...",0,no
"A sweater I purchased was picking up static electricity, so I decided to return it. He gave me another one free of charge.",0,no
My Viagra addiction was the hardest time of my life.,1,yes
"I've been taking Viagra for my sunburn, but it doesn't cure it. But it helps keep the sheets off my legs at night.",1,yes
"I think my phone is broken. Yesterday I pressed the home button, and I was still at work.",0,no
"I'm American, and I'm sick of people saying America is the stupidest country in the world. Personally? I think Europe is the stupidest country in the world.",0,no
I made a graph of all the past relationships I've had. It was an x-axis and a y-axis.,0,no
"What did the blanket say when it fell off the bed? Oh, sheet.",0,no
Do you remember the joke I told you about the chiropractor? No. Really? It was about a week back.,0,no
"Mom has forbidden me from making any more breakfast puns. She says if I do, I'm toast.",0,no
My wife says I have two major faults. I don't listen and something else.,0,no
I have a fear of elevators. I'm taking steps to avoid it.,0,no
A friend of mine got kidnapped by a group of mimes. They did unspeakable things to him.,0,no
Last night at the airport there was a woman completely passed out in the baggage carousel. She slowly came around.,0,no
"Told my wife, her underwear is way too tight and too revealing. She said, then wear your own.",0,no
What did the duck say when he bought chapstick? Put it on my bill.,0,no
I asked my wife when her birthday was. She said March 1st. So I walked around the room and asked again.,0,no
"I told my wife, don't get upset if someone calls you fat. You're much bigger than that.",1,no
I'm not sure if my wife is satisfied with my body. A small part of me says yes.,1,no
My wife took off her shirt when I was winning an argument. It was a booby trap.,1,yes
What do you call a short mother? Minimum.,0,no
My girlfriend poked me in the eyes. I stopped seeing her for a while.,0,no
"Last night my wife asked me, is it just me or is the cat getting fat? Apparently it's just you wasn't the right answer.",1,no
How many tickles does it take to make an octopus laugh? Ten. Ten tickles.,0,no
Last night my obese parrot died. Wow. I'm sorry to hear that. Fortunately it was a huge weight off my back. And my shoulders.,0,no
"It's a 5 minute walk from my house to the bar, but it's a 45 minute walk from the bar to my house. The difference is staggering.",0,no
I have a friend that has a stutter and he's getting sent to prison. I'm afraid he's not going to finish his sentence.,0,no
I'm starting a business to teach short people math. It's called making the little things count.,0,no
"I showed my friend my tool shed and pointed to my ladder, I told him that's my step ladder. I never knew my real ladder.",0,no
Five ants were in an apartment with another five ants. Now they're ten ants.,0,no
Why can't you hear a pterodactyl go to the bathroom? The pee is silent.,0,no
"When you wear a belt made of $100 bills, it's just a waste of money.",0,no
"Did you hear about the guy that evaporated? Yeah, he'll be mist.",0,no
"Prison might be one word to you, but to some people it's a whole sentence.",0,no
You know what the first rule of passive-aggressive club is? You know what? Never mind. Forget it. It's fine.,0,no
"Every morning, I get hit by the same bicycle. It's a vicious cycle.",0,no
"My wife said to me, I hate myself because I look fat. Can you give me a compliment? I said, you have perfect eyesight honey.",1,no
Did you know that the first French Fries weren't cooked in France. They were cooked in Greece.,0,no
"My doctor said my DNA is backwards. I said, and?",0,no
"My girlfriend said, you act like a detective too much. I want to split up. So that's a great idea. We can cover more ground that way.",0,no
My wife says I'm the cheapest guy in the world. I'm not buying it.,0,no
I asked my date to meet me at the gym. She never showed up. That's when I knew we weren't going to work out.,0,no
What do you call a magician who's lost his magic? Ian.,0,no
"I warned my children about using their whistle inside the house, and I gave them one last chance. Unfortunately, they blew it.",0,no
My wife told me to put ketchup on the shopping list. Now I can't read anything.,0,no
I've been saying mucho to my Mexican friends lately. It means a lot to them.,0,no
Why'd the Mexican take anti-anxiety pills? For Hispanic attacks.,0,no
What do you call a knight who is afraid to fight? Sir Render.,0,no
Two weeks ago I sent my hearing aid in for repair. I've heard nothing since.,0,no
My doctor told me I was going deaf. That news was hard to hear.,0,no
"I was in an Uber yesterday and the driver, asked, is it cool if I put some music on? I said, not at all. He said, kiss? I said, let's play the music first and see how we feel.",0,no
I once pulled a muscle mining for gold. It was a minor injury.,0,no
"Yesterday I was washing the car with my son. He said, Dad, can't you just use a sponge?",0,no
I wanted to start a new diet. I just feel like I have way too much on my plate right now.,0,no
"Geology rocks, but geography is where it's at.",0,no
"My wife is so negative. I remember the car seat, the stroller, and the diaper bags. Yet, all she can talk about is how I forgot the baby.",0,no
I accidentally ate invisible ink. I'm now in the hospital waiting to be seen.,0,no
"Fun fact, before crowbars were invented, crows simply just drank at home.",0,no
"I'd love to get paid to sleep, that would be my dream job.",0,no
"3 men crash on a desert island, and the Aussie says, okay, I'm going to go look for food. The Englishman says, I'm going to go look for water, and they send the Chinese man out for supplies. And the Aussie comes back. He has the food. The Englishman comes back. He has all the water, and they're looking around for the Chinese man. And they can't find him. It's been hours and hours. And then suddenly, out of nowhere, the Chinese man comes out and like, supplies!",1,no
"Three guys at a ski lodge and they all had to share a bed. In the morning, the guy on the left side says, I had the craziest dream. I got a handjob from a guy. And then the guy on the right side of the bed said, that's crazy, I had the same dream. And then the guy in the middle said, that's weird, I had a dream I was skiing.",1,yes
"Asian guy's driving his girlfriend to the beach, she whispers in his ear ""let me give you some head while you drive"". So she goes to unzip his pants and she goes ""is it really true what they say about Asian men?"" And he goes ""unfortunately, yes."" And then he crashes the car and they both die.",1,yes
"I was in the garden with my girlfriend earlier and we saw the 18-year-old girl next door, all dolled up, ready to go out clubbing. And my girlfriend said, do you know what? At that age, I could really see myself in her. Which was weird, because I was thinking the exact same thing.",1,no
"I was too shy, too embarrassed about it but eventually screwed up the courage to go and see my doctor, showed her my penis, said, look, I'm worried I might be a bit premature. She said, you certainly are. I'm the receptionist.",1,yes
"A boy walks in on his dad masturbating. The boy goes, dad, what are you doing? The dad goes, I'm masturbating. You'll know about it soon. The kid goes, what do you mean? He goes, well my arm's getting tired.",1,yes
"Sex education lessons at our school were pretty weird. The teacher made us shout out rude words to get out of our system, like bum, willy, cocks, and we had to carry on doing that until he came.",1,yes
"A plane full of priests and children is crashing to earth. One says, what about the children? The other says, fuck the children. The third one says, do we have time? ",1,yes
I was watching a really weird porn film the other day that was just a fat man crying and wanking at the same time and then I realised I hadn't turned the tv on.,1,yes
"My old high school teacher told me I'd be terrible at poetry due to my dyslexia. But it's so crazy since  I've already made two vases, two jugs and an ashtray.",0,no
"I don't like to eat anything labelled reformed ham, as I think it's unfair that the pigs are slaughtered after they've got their lives back on track.",0,no
"There's a house on fire. And there's two guys having sex, Who gets out first, the top or the bottom? The bottom because his shit's already packed.",1,yes
Did I tell you about how I got arrested? No. Because I left my car at the bar and took the bus home. Turns out I was too drunk to drive that too.,1,yes
"Why is parking a car like finding a girlfriend? All the good ones are taken, so you just stick it in the disabled one and hope no-one finds out.",1,no
I apologised to my girlfriend during sex for slipping it in the wrong hole. But of course she couldn't hear me because my dick was in her ear.,1,yes
I dated a girl with the same name as my mum. I wasn't allowed to call her by her name during sex because it would remind her of my girlfriend.,1,yes
They say that animals can sense disasters before they happen. That's why my dog always barks every time it sees an Asian get in the car.,1,yes
"What's the difference between a casual dress party and a pirate having sex? One, you come as you are.. The other, you ARRRR as you cum.",1,yes
"I got a DVD, How To Improve Your Foreplay Technique. It was really good. I had to fast-forward through the boring bit at the beginning.",1,yes
"What does the Twin Towers and genders have in common? When we were kids, there were two of them. But now it's kind of a touchy subject.",1,no
Police recently found a dead body and it had sperm in its mouth. They suspected that someone was trying to inject life back into them.,1,yes
"My mum died when we couldn't remember her blood type. As she died, she kept telling us be positive. It's hard without her.",1,yes
"A gingerbread man went into a doctor's appointment and he said, I've got sore knees. And the doctor said, have you tried icing it?",0,no
"My girlfriend's dog died. So to cheer her up, I got her an identical one. She was livid. What am I going to do with two dead dogs?",1,no
"I got arrested by a female police officer. She told me, anything you say can and will be held against you. So I replied, boobs.",1,yes
"When I was little, I was scared of the dark. But now that I'm older, when I see the electricity bill, I'm scared of the lights.",0,no
I suggested to my wife that she look sexier with her hair back. Apparently that's insensitive to say to someone during chemo.,1,no
"High school football game was a lot like the first time I had sex. I was really bloody and bruised, but at least my dad came.",1,yes
My nan recently came home and she claimed that she once gave a handjob to Albert Einstein. What a stroke of genius.,1,yes
"Instead of getting a letter from the Queen when you turn 100, now you get a......text from Prince Andrew when you turn 14.",1,no
Do you know what the secret is to having a smoking hot body as a senior? Cremation.,1,no
Why are retired Nazis so good with animals? Why? Because they're veteran Aryans.,1,yes
You know when strippers get money with jizz on it they have to report it to the government. Really? It's gross income.,1,yes
What's the difference between a female farmer and Hitler's girlfriend? One bales her hay and the other heils her bae.,1,yes
"Why doesn't Mexico have an Olympic swimming team? Because everyone who can run, jump and swim are already in the US.",1,no
"What's the difference between a rooster and a hooker? A rooster says cock-a-doodle-doo, a hooker says any cock'll do",1,yes
"During sex, you burn off as many calories as running eight miles. Who the fuck's running eight miles in 30 seconds?",1,yes
This morning I went to a meeting in my premature ejaculator support group. But it turns out it's tomorrow.,1,yes
Why is it so hard to argue with a woman that's not wearing a bra? She already made two really good points.,1,no
What do you call a nurse with dirty knees? The head nurse.,1,no
Gay men's ass cheeks are like the US border. Because they're always open and men enter through at night.,1,yes
To anyone who says white men can't jump. Obviously haven't seen the footage of 9-11.,1,no
Why is a white guy in prison scarier than a black guy in prison? Because the white guy actually did it.,1,no
"What do anniversaries, the toilet bowl and the clitoris all have in common? Men usually miss them all.",1,yes
"What do women and hand grenades have in common? When you pull the ring off, your house goes away.",1,no
What's the difference between Batman and a black man? Batman can go out at night time without Robin.,1,no
"What's a condom and a coffin got in common? They both hold stiffs, but one's coming and one's going.",1,yes
"Someone told me a banana a day was good for cleaning the colon, so I realized you have to eat them.",1,no
A naked man broke into a church. The police chased him around and finally caught him by the organ.,1,no
"My mate tried to freak me out by getting me to eat donkey meat, joke's on him.. I love eating ass.",1,yes
My girlfriend left me because she caught me in bed with some pasta. I've been feeling cannelloni.,0,no
What's the difference between women and Ubers? Drunk men ask before getting inside an Uber.,1,no
What does wanking and foreputting have in common? You never know how many strokes it will take.,1,no
"An Englishman, an Irishman and a Welshman rob a bank. Who do the cops shoot first? A black guy.",1,no
Have you seen the movie about the little fish with cancer? Finding chemo.,1,no
Why can't Asian men never masturbate to Asian porn? Because everyone looks like their sister.,1,yes
Why don't Indians play soccer? Because every time they're out of corner they open a store.,1,no
We just found out my grandpa is now addicted to Viagra. No-one's taking it harder than me.,1,yes
What do blind kids and orphans have in common? Neither of them can see their parents.,1,no
Did you know that Germany created sparkling water? Who else would have thought to add gas to water.,1,no
Why can't two Chinese people have a white kid? Because two Wongs don't make a white.,1,no
Why can't little kids play chess? Because they're not allowed near bishops.,1,no
What do you say after having sex with a female soldier? Thank you for your cervix.,1,yes
My job allows me to hook up with as many people as I want. Love being a mortician.,1,no
"My boyfriend dumped me, so I stole his wheelchair. Guess who came crawling back?",1,no
What do a short-sighted gynaecologist and a puppy have in common? A wet nose.,1,no
How do you know a mechanic has a girlfriend? He has two clean fingers.,1,no
Why is fruit squash banned in Germany? Because it's a concentrated juice.,1,no
Why do Norway have barcodes on the side of their ships? To Scandinavian.,0,no
What time does an ISIS member go to bed? He usually crashes around 9-11.,1,yes
What do Germans hate more than World War II jokes? The gas bill.,1,no
What do tofu and dildos have in common? They're both meat substitutes.,1,yes
Did you hear about the guy with a fruit fetish? He's fucking bananas.,1,yes
What do you do when you finish a magazine at school? You reload.,1,no
What kind of flour do orphans use to bake bread? Self raising flour.,1,no
Why does an Ethiopian baby cry? It's having a midlife crisis.,1,no
"What's a gal's favorite number? 16, because she gets eight twice.",1,yes
What do you get when you jingle a man's balls? A white Christmas.,1,no
I saw a guy on a jackhammer earlier today. It was groundbreaking.,0,no
What happens when Catwoman kisses Batman? The Dark Knight rises.,1,no
Why was Ten scared? Because he was right in the middle of 911.,1,no
What do you call a pair of time traveling birds? A paradox.,0,no
Why is Santa's sack is so large? Because he only comes once a year.,1,no
Why do police get to protests early? To beat the crowd.,1,no
What do you call a group of disabled people? A garden.,1,no
What does a deaf gynaecologist do? Lip read.,1,no
Why do hamburgers go dancing? A meatball.,0,no
What do you call a blind German? A Not-see.,1,no
Why did my dad go to prison? Beats me.,1,no
I married my wife for her personality. I just didn't realise it came as a variety pack.,1,no
"I walked into a bar with my wife. The bartender said, would you like a beer for your wife? I said, that sounds like a fair swap.",1,no
I went down to the paint store to get thinner. Didn't work. I'm still fat.,0,no
I asked a german girl for her number and i'm still waiting for the rest of the digits so far all i've gotten is nine.,0,no
"Three tons of hair was stolen from a wig factory. But don't worry, cops are still combing the area.",0,no
What's Thor's favorite food? Thor-tillas.,0,no
What does a grape say when it's being squashed? Nothing. It just lets out a little whine.,0,no
What do you get if you put a duck in a cement mixer? Quacks in the pavement!,0,no
What does a small pair of underpants and a small dance floor have in common? No ballroom.,1,no
What do you call a group of anxious dinosaurs? Nervous wrecks.,0,no
"My wife left me for another man. All that lies ahead now is a miserable, pointless, lonely life. And while he's going through that, I'll be down at the pub with my mates every night.",1,no
"I draw all my own porn with a pencil, one picture at a time. That way, if I hear anyone coming up the stairs, I quickly rub one out.",1,yes
I told my fiance she should embrace her mistakes. She gave me a hug.,0,no
Police have arrested the world tongue twister champion. They said he'll be given a tough sentence.,0,no
I don't know why you care about your phone spying on you. Your vacuum cleaner's been gathering dirt for years.,0,no
I haven't seen my twin brother since I left Australia. We were separated at Perth.,0,no
My girlfriend broke up with me for being too un-American. I saw it coming from a kilometer away.,0,no
"Just saw a guy running down the road with a cape on, so I shouted, Hey, are you a superhero? They yelled back, No, I didn't pay for my haircut. ",0,no
I finally figured out why I look so bad in pictures. It's my face.,0,no
I just found out the entire neighborhood attended a meeting about the one weirdo living on the block. It's odd they didn't invite me.,0,no
Did you hear about the non-binary serial killer? They slash them.,1,yes
We just found out that Grandpa is addicted to Viagra and nobody is taking it harder than Grandma.,1,yes
I saw my dad chopping up onions today and I cried. Onions was a good dog.,1,no
I finally realised my parents favoured my twin brother. It hit me when they asked me to blow up the balloons for a surprise birthday party.,0,no
"It took a while, though. My therapist told me that a great way to let go of your anger is to write letters to people you hate and then burn them. I did that and I feel much better now, but what do I do with the letters?",0,no
"I want to die like my grandfather did, peacefully in his sleep, not screaming in terror like the passengers on his bus.",1,yes
I accidentally gave my wife a glue stick instead of lipstick. She's still not talking to me.,0,no
I like to dip my balls in glitter. It's pretty nuts.,1,no
I recently joined a nudist colony. The first few days were the hardest.,1,yes
I've dedicated my whole life to finding a cure for insomnia. I won't rest until I've found it.,0,no
Remember when plastic surgery was a taboo subject? Now you mention Botox and no one raises an eyebrow.,0,no
What did the elephant say to the naked man? How do you breathe with that tiny thing?,1,no
Somebody said my dad's gay. Now I'm trying to work out which one.,0,no
I wrote a book on how not to fall down the stairs. It's a step-by-step guide.,0,no
The Egyptians claim there are no crocodiles in their country. I think they're in denial.,0,no
Why did the patient refuse to pay the proctologist for her butt lift? She said it still had a little crack in it.,0,no
I was reading a great article about glue the other day. I couldn't seem to put it down.,0,no
"In Japan they have something called sumo wrestling, when two thick people are pushing each other. I went to kentucky they have a same thing, it's called Walmart.",1,no
"Every time my grandma and I are at weddings together, she always look at me and be says ""you next"". So one time we went to a funeral together. And I looked at her and was like, ""you next"".",1,no
My wife asked me if I have seen the dog bowl. I said I didn't know he could.,0,no
What do you call a priest that becomes a lawyer? A father-in-law.,0,no
What do you call a record store owner's last wishes? His vinyl requests.,0,no
Why did the Mexican soccer team bring rope to the game? Because they wanted to tie the score.,0,no
What's the difference between a pregnant woman and a light bulb? You can't unscrew a pregnant woman.,1,no
"My penis was in the Guinness Book of World Records. But, the librarian told me to take it out.",1,yes
If somebody die by fire.. Do they get a discount on being cremated?,1,no
What does Santa Claus do at the annual Christmas fashion show? He slays.,0,no
"My wife absolutely hates it when our next door neighbor sunbathes topless in her yard. Personally, I'm on the fence.",1,no
Why did the terrorists get left out the secret plan? Because they were afraid he was gonna blow up their cover.,1,yes
How do you get a squirrel down from the tree?  Pull down your pants and show them your nuts.,1,no
Why did the girl feel pretty after she left her doctor's office? She was diagnosed with acute condition.,0,no
Why did the electrician get kicked out of the party? Because he doesn't know how to conduct himself.,0,no
What do female buildings wear to a house party?  A dress.,0,no
What happens when you smash a lemon without protection? You get lemonades.,1,no
"If you want to live drama-free, go to India. They don't have beef with anyone.",1,no
"What does Santa Claus say to Miss Claus when he caught her cheating? You ho, ho, ho.",1,no
Why was the grape mad at his dad? Because he wasn't there when he needed raisin.,0,no
What type of spread do cars use on sandwiches? Traffic jam.,0,no
What's it called when you kill yourself at the grocery store? Self checkout.,1,yes
Why do horses have low divorce rate? Because they have stable relationships.,0,no
Why did the farmer's wife leave him? Because he was always around the hoes.,1,yes
What do you call a fish arguing off the hook? A debate.,0,no
How did the chicken wing get pregnant? Because her man left the bone in.,1,no
What did the Indian boy say to his mother as he left for school? Mumbai.,0,no
What's a three-letter word that starts with gas? A car.,0,no
Why did the salad go to the studio? To get some beets.,0,no
"When I found out that my blow dryer wasn't waterproof, I was shocked.",0,no
Why did the mannequin drop out of high school? Because he's a dummy.,0,no
What do you call a casket at a redneck's funeral? A cracker barrel.,1,no
Why don't scientists trust atoms? Because they make up everything.,0,no
What is a Jewish person's favorite fighting style? Jiu Jitsu.,0,no
What do you call it when someone ships escargot? Snail mail.,0,no
Why was the robot a good dancer? Because he had algorhythm.,0,no
I only know 25 letters of the alphabet. I don't know why.,0,no
What does a shellfish get after they work out? Muscles.,0,no
Why don't eggs tell jokes? Because they might crack up.,0,no
What do you call a banker in a tree? A branch manager.,0,no
I used to hate pubic hair. But then it grew on me.,1,no
What do white people fear all year round? Seasons.,1,no
Why is June a lion's favorite month? Because its Pride Month.,0,no
What do you call a fish that practices law? Sushi.,0,no
What has two butts and kills people? An assassin.,0,no
Why did the pillow need a lawyer? He had a case.,0,no
What do you call dental x-rays? Toothpicks.,0,no
What do fat computers eat? Megabytes.,0,no
"A hotdog walks into a bar and orders a beer. The bartender replies, ""Sorry, we don't serve food here"".",0,no
"2 blondes are walking in the park and the 1st blonde says, ""LOOK! Dead bird!"" The 2nd blonde looks up into the sky and yells ""Where?!""",1,no
How does santa greet the three blonde sisters? Ho. Ho. Ho.,1,no
What do you do if a blonde throws a grenade at you? Pull the pin and throw it back.,1,no
What do you call a movie about a man trying to make a blond smart? Mission Impossible.,1,no
What two things in the air can make a blonde pregnant? Her Legs.,1,no
"Q: Why did the blonde get pulled over by the police?  A: Her headlights weren't working, so she was flashing people.",1,no
Q: How can you tell when a blonde has been driving your car? A: There is lipstick on the steering wheel from her blowing the horn.,1,no
Two blondes are walking down the road when one says ''Look at that dog with one eye!'' . The other blonde covers one of her eyes and says ''Where?'',0,no
Why is it good to have a blond in your car? You can park on places for disabled.,1,yes
"A man is passing a blonde and he says, ""Where are those legs going?"" and the blonde answers, ""They are going home for now unless something comes between them.""",1,no
Blonds are so dumb. I'm lucky my hair is yellow.,1,yes
Q: How do you get a blonde with one arm out of a tree? A: Wave to her.,1,no
Did you hear about the blonde who went shopping for lip-gloss? She wanted to pass the make-up exam.,1,no
How can you tell when a blonde is having a bad day? She has her tampon behind her ear and she cant find her pencil!,1,no
"Maths teacher asks a blonde girl what comes after 69?"" Essex girl replies ""you wash your face and rinse your mouth DUH...!""",1,no
"Santa Claus, a Boy Scout, and a smart blonde jump out of a plane. Who lands first? The Boy Scout, because the other two don't exist.",1,no
"There was a little boy and a little girl in a bathtub having a bath. Suddenly the little girl looked down at the boy.  ""Can I touch it?"" ""No way -- you already broke yours off!""",1,no
"A little boy was in his room playing with himself, when his father walked in.  ""Son! If you masturbate too much, you're gonna go blind!""  ""Dad,"" the boy said, ""I'm over here.""",1,yes
Children in the back of the car cause accidents.  Accidents in the back of the car cause children.,1,no
"What are the blonde's first words after 4 years of college?  ""Would you like fries with that?""",1,no
What do you call it when someone farts in a gay bar? A love call.,1,no
A woman went to a wishing well and wished that she could become a better driver. So she turned into a man.,1,no
"Wife: Will you love me when I'm old and ugly? Husband: Darling, of course I do.",1,no
Q: Why didn't the skeleton go to the dance? A: Because it had no body to go with.,0,no
"""How did you like my latest book, 'The Art of Levitation'?"" His companion replied, ""It kept me up all night.""",0,no
"Q: Did you hear the joke about the jump rope? A: No, I skipped it!",0,no
One day this cop pulls over a blonde for speeding. The cop gets out of his car and asks the blonde for her license.''You cops should get it together. One day you take away my license and the next day you ask me to show it.'',1,no
son: daddy daddy why are we pushing the car over a cliff? Dad: shhh!!! You'll wake grandma.,1,no
"A couple goes to an art gallery. They find a picture of a naked women with only her privates covered with leaves. The wife doesn't like it and moves on but the huband keeps looking. The wife asks, ""What are you waiting for?"" The husband replies, ""Autumn.""",1,no
"What's grey, crispy and hangs from the ceiling? An amateur electrician.",1,no
"A man was enquiring about Viagra to a pharmacist. The pharmacist said ""These pills work wonders for me, I can go for 3 hours!I only have to take one pill"" Interested the man asked ""Can you get it over the counter?""The pharmacists looked startled and replied ""Maybe if I take two pills!""",1,yes
"In the beginning, God created the earth and rested. Then God created Man and rested. Then God created Woman. Since then, neither God nor Man has rested.",1,no
Q: How do you make a blonde laugh on a Monday? A: You tell her a joke on Friday.,1,no
How do most men define marriage? A very expensive way to get your laundry done free.,1,no
Nothing tops a plain pizza.,0,no
How Long is a Chinese name. ,0,no
"How does a train eat? It goes *chew,chew*",0,no
I like my slaves how I like my coffee.. Free.,1,no
What do you call a communist sniper? A marxman.,0,no
What’s better than a Dad bod? A father figure.,0,no
My math teacher called me average... How mean!,0,no
"Broke my finger today, On the other hand i am ok.",0,no
"Regardless of price, Velcro is always a rip off.",0,no
How do you get a farm girl to like you? A tractor.,0,no
"The mountains aren't just funny, they're Hill areas.",0,no
Due to the quarantine I’ll only be telling inside jokes.,0,no
Do you know what the opposite of ladyfingers is? Mentos.,0,no
"What starts with T, ends with T, and is full of T? Teapot.",0,no
What do you call an orphan taking a selfie? A family photo.,1,no
If you rearrange the letters of MAILMEN they get really upset.,0,no
"Which is faster, hot or cold? Hot, because you can catch a cold.",0,no
What does a clock do when it’s hungry? It goes back four seconds.,0,no
"If number 666 is evil,then 25.8069758011 is the root of all evil. ",0,no
How do cops like their coffee? Black with a couple of shots in it.,1,no
I struggle with Roman Numerals until I get to 159. Then it just CLIX.,0,no
Why has Alabama man had sex with a clock? Because time is relative.,1,yes
I asked my German friend if he knew the square root of 81. He said no.,0,no
"If A is for apple and B is for banana, what is C for? Plastic explosives.",1,yes
Why is the letter B so cool? Because it’s sitting in the middle of the AC.,0,no
"What did the green grape say to the purple grape? Breathe, damn it! Breathe!",0,no
My wife told me to stop acting like a flamingo. So I had to put my foot down.,0,no
"If you think Thursdays are depressing, wait two days. It will be a sadder day.",0,no
"My wife asked me ""Is having a penis fun?"" I said, ""It has it's ups and downs.""",1,yes
"I’ll never forget my grandpas last words STOP SHAKING THE LADDER, IM GONNA FALL.",1,no
Justice is a dish best served cold. Because if it were served warm it would be justwater.,0,no
I'd never let my children watch the orchestra. There's too much sax and violins.,1,no
"When I was younger, I felt like a man trapped in a woman's body ... Then I was born.",0,no
How much sex does a person who likes both men and women have? Just enough to get Bi.,1,yes
How did the computer hackers get away from the scene of crime? They just ransomware.,0,no
"Scientists got bored watching the earth turn, so after 24 hours they called it a day.",0,no
If Jesus was real they wouldn't call it the crucifixion. They would call it crucifact.,1,no
What happens if the average number of bullies at a school goes up? The mean increases.,0,no
"Lance is an uncommon name nowdays, but in mediaeval times people were called lance a lot.",0,no
I gave up my seat to a blind person on the bus. Thats how i lost my job as a bus driver.,0,no
"There’s big penises and there’s small penises, but the best penis of all... Is happenis.",1,yes
I was wondering why music was coming from my printer.. Apparently the paper was Jamming.,0,no
I've run out of toilet paper and started using old newspapers instead. The times are rough.,0,no
"I have a russian friend who’s a sound engineer. And a Czech one too, and a Czech one too.
",0,no
"What’s the Fastest Growing City on Earth? The capital of Ireland. 

It’s Dublin every day.",0,no
"I bought my friend an Elephant for her room... She said ""thanks"". I said ""don't mention it"".",0,no
"If a father in Iraq gifts his daughter a new bag, what will she say? Thanks for the Baghdad!",0,no
I’ve asked so many people what LGBTQ stands for. So far no one has given me a straight answer.,0,no
I normally knock on the fridge door before I open it... Just in case there’s a salad dressing.,0,no
"Which 5 letter body part is long and flexible and contains the letters P, E, N, I and S? Spine.",1,yes
"A priest, an imam and a rabbit walk into a bloodbank. The rabbit says: ""I think i am a Type O.""",0,no
I always thought it would be difficult to have erectile dysfunction. But it can't be that hard.,1,yes
To every last man out there celebrating Fathers Day... All of you are real mother fuckers.,1,yes
Whats the difference between an american and a computer? An american doesn't have troubleshooting.,1,no
Did you know there’s no official training for a garbage collector? They just pick it up as they go.,0,no
How come no one at the kings table laughed when he farted? Because noble gases don't cause reaction.,0,no
"I'm furious that I can't write out 1, 1000, 51, 6, and 500 in Roman numerals. In fact, I M LI VI D.",0,no
"If having sex for money makes you a whore, having sex for free makes you a non profit whoreganization.",1,yes
I can always tell when someone is lying just by looking at them. I can tell when they're standing too.,0,no
Steve Jobs would have made a better president than Donald Trump… But that’s comparing apples to oranges.,1,no
"When I was a kid, my mother told me I could be anyone I wanted to be. Turns out identity theft is a crime.",0,no
"My friend told me, “Your wife and daughter look like twins!” I said, “Well, they were separated at birth.”",0,no
