Jokes,Offensive,Explicit
اغبياء يبون يفجرون مبني حطو القنابل في الدور الاول وطلعوا السطوح,1,yes
معلم و معلمه تزوجو كتبو الكتاب في السبوره,0,no
غبي يبون يعذبونه حطوه في غرفه مدوره قالوله اجلس في الزاويه,0,no
دلوع راح يسجل في الجيش قاله المسوول شو اسمك قال روري قال ما نسجل هالاشكال يوم بتستوي ريال بنسجلك سار و رد عقب اسبوع قاله الضابط شو اسمك قال روري الشرير,0,no
محشش قاعد يشوف مباراه ريال مدريد سمع المذيع يقول فاول لصالح رونالدو قال تصدقون توني ادري ان اسمه الاول صالح,0,no
محشش سالوه الثعلب يبيض والا يولد رد عليهم والله الثعلب مكار توقعوا منه اي شي,0,no
في محشش سال سكران قاله ليش نشره الاخبار طويله قال يمكن اليوم اخر حلقه,0,no
واحد اتصل بالخطوط قال كم تستغرق رحله الرياض لباريس قالو له لحظه، قال شكرا,0,no
في واحد قال لزوجته من يوم ما تزوجـنا وانتي كله تقولين لي هات هات هات ولا يوم قـلتي لي خذ. قالت له خـذ الزباله ونزلها معاك,0,no
صرصور رايح السينما اول مادخل شاف اعلان بف باف قال من بدايتها رعب,0,no
في واحد حط فياجرا في الثلاجه جا اليوم الثاني لقي باباغنوج يغازل ام علي,1,yes
وحده تدور ولدها الضايع قالولها اذا ولد حلال بيرجع. قالت ياويلي راح الولد,1,no
واحد اخذ الدواء قبل ميعاده ليه علشان يفاجئ الجراثيم,0,no
مره اربع صعايده داخلين امتحان فجلهم سوال في الامتحان وهو كام عدد ارجل المعزه فكلهم سالو صاحبهم حسنين وما كنش بيرد عليهم، فالما خلص الامتحان قالولو انتا ما قولتيلناش ليه قالهم المراقب كان جنبي ومعرفتيش اطلع المعزه,1,no
مره البوليس كبس علي ناس بيشموا ومعاهم ولد صغير فالظابط بيقوله ويا تري الشمام الصغير اسمه ايه قاله كنتالوب,1,no
مره واحد نزل بسين طلع بصاد,0,no
معلم لغه عربيه قال وقفت السياره في المكان الممنوع ثم سال احد التلاميذ ان يعرب كلمه السياره فقال التلميذ فاعل مرفوع بالونش,0,no
إمام يصلي بمحششين قالهم صلوا علي الخط قالوا عليه الصلاه والسلام,1,yes
هندي قام ياذن نسي الاذان جان يقول نفر مسلم يجي صلي نفر كافر خلي ولي,1,no
في زوله لابسه مايوه اصفر شافتها لبنانيه قالت شو هيده موزه فسدانه,1,no
في هندي اخذ خياره حطاها في اباطه طلعها مخلله,1,no
في ثلاث مجانين خططوا علي ضرب الحارس والهروب من المستشفي يوم طلعوا مالقوا الحارس رجعوا وقالوا ياخساره خربت الخطه,0,no
غبي واقف مع دوده عند الشمس ليه الطبيب قال له اجلس عند الشمس دقايق معدوده,0,no
في واحد راح يودي انبوبه غاز قال لامه ادعيلي قالت ان شاء الله تنفتح بوجهك,0,no
فيه واحد شارب امسكته الدوريه قاله العسكري انت شارب قال لا لحيه,0,no
واحد يصيح من الطابق العاشر الحقوني الحقوني حماتي عاوزه تنتحر رد عليه الجيران وانت زعلات ليه قلهم الشباك ميتفتحش,1,no
في رجل سعيد تزوج امراه تعيسه جابو ولد سموه يا فرحه ما تمت,0,no
ثلاثه مسافرين جاتهم المضيفه قالت للاول وش تطلب قال لها ابي عسل يا عسل وسالت الثاني قالت له وش تطلب قال ابي سكر ياسكر الثالث سمعهم قال لها ابي حليب يا بقره,1,yes
واحد سال الثاني ليش اليهود خشومهم كبار الثاني رد عليه علشان الهواء مجاني,1,yes
صاحب محل دخلت عنده وحده حلوه وكل شوي تقول له بكم هذا حجي بكم هذا حجي اخيرا طفش منها قال شوفي انا ماحجيت لكني اخذت عمره علشان كذا تقدرين تقولي ياعمري,0,no
غبيه بتفرح زوجها بليله الزواج بعد مادخل قالت انا حامل,1,yes
في محششين في خيمه بالبر المهم بعد ما انسطلوا طلب واحد منهم ولاعه عشان يدخن قالوا مافي ولاعه اطلع دور يمكن تلقي المهم اخونا اخذ لفه علي الخيمه ورجع دخل علي نفس الخيمه خويانه وسلم عليهم وقال ممكن ولاعه يا شباب قالوا له استرح طال عمرك في واحد راح يجيب ولاعه وبجي,0,no
واحد رمي يمين الطلاق علي مراته ما جاش فيها,1,no
سوداني دخل فيه جني راح لشيخ قاله اطلع.. قال الجني مااشوف,1,no
في سودانيه لبست ثوب احمر راحت لزوجها قالت له دلعني قال يا فحم انت يا مولع,1,no
في صعيدي لقي مرتو نايمه مع واحد تاني قال مين ده قاام قالوو لا الكميره الخفيه قال ييوه دي رابع مره تحصلي,1,no
واحد يشكي للثاني ويقول راسي مشغول رد الثاني وقال ليش من الي رافع الخط,0,no
واحد اتصل بزوجته وقال لها انا ربحت المليون جهزي شنطتك بسرعه فقالت الزوجه احمل معاي ثياب الصيف ولا الشتاء قال لها احملي اللي تبين المهم ما اشوفك في البيت لما ارجع,1,no
هذا واحد نذل مره ارسله ابوه لامريكا وكتب علي ظهره اسامه بن لادن,1,yes
فيه واحد يحب المدح قاعد يصلي وسمع اثنين يمدحون صلاته قطع صلاته والتفت عليهم وقال تراني صايم بعد,1,no
في مغفل شاف عصافير حب علي شجره واحد احمر والثاني اخضر مسك الاحمر وترك الاخضر ليش فكر الاخضر مانضج,0,no
مره فيه قريه كلها مجانين ما ضل فيها ولا واحد ليش لان واحد منهم طاح في حفره وقال الحقوني,0,no
اتنين مساطيل واحد بقول للتاني لو مفيش ستات في الدنيا كان ايه الي حصل اتاني قاله مكنش الراجل اتجوز علي مراته,0,no
مر جحا مع حماره يوما فرءاه صاحبه فقال له مداعبا تصور يا جحا اني لم اعرفك وانما عرفت حمارك فرد جحا الحمير تعرف بعضها,1,no
فيه واحد سافر مع اهله بعد الامتحانات وقال لصديقه شف اذا طلعت النتيجه اتصل علي وعلمني اذا انا ساقط في الرياضيات قل يسلم عليك رياض واذا انا ساقط في العلوم قل يسلم عليك علي ومثل كذا كل ماده باسم المهم يوم طلعت النتيجه اتصل الصديق علي خويه المسافر وقال ترا الشباب كلهم يسلمون عليك,0,no
ثلاثه صقور تحدو علي الصيد راح الاول ورجع في منقاره دم قليل قال شفتو ذيك الشجره قالو ايوه قال صت عندها ارنب راح الثاني ورجع في منقاره دم كثير قال شفتو ذيك الصخره قالو ايوه قال صت عندها غزال راح الثالث وهو الخبيل فيهم ورجع وجهه كله دم قال شفتو ذاك العمود قالو ايوه قال انا ما شفته,0,no
مره في امريكي و فرنسي و صيني حبو يجربوا صدى اصواتهم عند شلالات نياجرا. الامريكي قال هلو الصدى قال هلو . و الفرنسي قال بونجور الصدى قال بونجوور. و الصيني قال شنجا شونج الصدى قال هاه اش قلت,1,no
مره اثنين سود اضاربوا طلعت ريحت التواير,1,no
 معلمه رياضيات ضربتها سياره فقدت الوعي اخدوها عالمستشفي فالدكتور بقول لاهلها عندها كسور قامت قالتلهم تنسوش توحدوا المقامات,0,no
مسطول شاف هنديه علي جبينها نقطه حمرا قام قالها يا مدام يا مدام انتبهي عم تسجلي فيديو,1,no
مره واحد اخذ زوجته لحديقه الحيوانات و صورها جنب قفص القرود و علق الصوره في الصالون و كتب تحت الصوره هذه صوره زوجتي مع القرود ملحوظه زوجتي الثالثه علي اليمين,1,no
مره اخطبوط قاعد يبكي عشان مش عارف ايده من رجله,0,no
ليش هيفاء وهبي تحب الشتاء لانه قاسي وطويل,1,no
 بنات يتمشوا علي البحر بمايوهات في رمضان ليش؟ برنامج افطار صايم,1,no
كان في مره واحده منقبه وواحده رقاصه راحو لشيخ فا الرقاصه سالت الشيخ قالتله ياشيخ انا ابني مزهقني ومطلع عيني وانا مستحملاه علشان هو صغير مش عارف حاجه قالها برافو عليكي ده مفتاح الجنه والرقاصه سالت الشيخ قالتله يا شيخ انا عايزه اتوب ومش عارفه قالها برافو عليكي ده مفتاح شقتي,1,yes
قال واحد ليبي راح لسوريا سالوه في المطار واش رايك في الاسد قالهم حيوان مفترس حكموا عليه سنوات سجن بعد طلاق سراحه من السجن راح لسعوديه سالوه واش رايك في الفهد قالهم حيوان مفترس يعيش في الصحراء حكموا عليه سنوات سجن من بعد رجع للبيا قالولو واش رايك في القدافي قالهم سامحوني ما نعرف حتي حيوان بهذا الاسم حكموا عليه بالاعدام,1,no
راجل و مراته قاعدين علي السرير سالها بتفكري في ايه بصت له نظره اغراء و قالتله نفس اللي بتفكر فيه قالها عاوزه تتجوزي عليا؟,1,no
ذهب رجل لزياره احدي السيدات الجميلات فما ان دخل حديقه منزلها حتي فاجاه نباح كلبها الفالت فتوقف وهم بالرجوع تفاديا عضه واذا بالسيده الجميله تطل من النافذه وتطمينه بقولها لا تخف الكلب مخصي فاجابها علي الفور انا مش خايف ينيكنا خايف يعضنا,1,yes
اذا اخذت وصف الطريق من امراه عبي بنزين فل وشيل جوازك معاك احتياط احتمال تطلع من الحدود وشكرا,1,no
اتنين محششين قلعوا هدومهم وحطوها جنبهم وقعدوا يزقوا في عماره المهم جيه حرامي سرق هدومهم بيبصوا وراهم ملقوش الهدوم فقالوا كفايه كده احنا زاقينا كتير,0,no
محشش وقع علي لارض قالوا له جت سليمه قالهم خليها تتفضل,0,no
مره ثللث طلاب عندهم امتحان في حفظ القران الكريم . سأل الاستاذ الطالب الاول اسمك ايه قال محمد قاله سمع سوره محمد.. وسأل الطالب الثاني اسمك ايه قال ابراهيم قاله سمع سوره ابراهيم وسأل الطالب الثالث اسمك ايه قاله اسمي عمران بس يدلعوني كوثر,0,no
واحد محشش بيقول لصاحبه مش عارف ليه عود الكبريت ده ما بيولعش ليه مع انه لسه مولع من شويه,0,no
ليه الخشب يتيم لانه مقطوع من شجره,0,no
كهربايي شاف سلك مكشوف استحي منه,0,no
مره واحد راح يسرق البنك قام فصخ كل ملابسه ليش عشان ما يمسكونه متلبس,0,no
واحد صيني بدهم يعذبوه كيف؟ فتحوا عينيه.,1,no
في واحد بخيل دخل الحمام ومرضاش يخرج ليش لانه مكتوب علي الباب ادفع,0,no
مره واحد قال لصاحبه النهارده داست علي صباعي عربيه نزل صاحبها واعطي لي الف جنيه، راح صاحبه قدام القطر وقال له تعالي يا ابو الملايين,0,no
مره واحد مراته منكده عليه عيشته، جه ابنه قاله شفت يابا الدواء الي بيطول العمر ؟ فقلو اوعي توديه لامك,1,no
في وحده اتعرفت علي واحد غبي قام سالها وش اسمك قالتله اسماء قالها يعني انتي مالك اسم محدد,0,no
ماهو وجه الشبه بين المكياج و الفياجرا كلها تبيض الوجه,1,yes
واحد يسال امه ليش ابوي اقرع قالت له يا ولدي هذي علامه الذكاء قال لها الولد اشوف شعرك طويل,1,no
غبي امه قالتله روح لجارتنا اطلب منها كركم راح الولد للجاره ونسي كلام امه قال امي تقول تعالوا كلكم,0,no
واحد بيفجر نفسه بين اسرايليين سوي بروفه بين أهله قبلها بيوم,1,no
صعيدي دخل المستشفي بدو يروح الدور الثاني لغرفه الاشعه دخل الاصنصير شاف المرايا والانوار يحسبه محل الاشعه المهم نزع وقف المصعد وانفتح الباب شافته الممرضه صرخت قال الصعيدي لاتقولي سرطان,1,yes
واحد عندو سبع ولاد سمي نفسو سفن اب,0,no
في صيني يبي يسمع صداه عند جبل قال هنغ شنغ يونغ قال الصدي انت شتقول,1,no
وش وجه الشبه بين بنات اليوم والمسمار؟ مايدخلون بيوتهم الا بالطق,1,no
ليش القطار مهم لان تحته خطين,0,no
تايه بيسال واحد ماشي في الشارع ايه اسرع طريق اروح بيه للمستشفى قالوه غمض عينك وعدي الشارع,0,no
لبنانيه و سودانيه قدموا علي وظيفه سكرتيره قال لهم المدير انا ما بيهمنيشي الجمال اهم حاجه عندي الثقافه فسال اللبنانيه ما هو اسم بلد المليون شهيد قالت الجزاير سال السودانيه طيب ايه اسم المليون شهيد,1,no
مره مدرس كيمياء خلف عيل سماه سامي اكسيد الكربون,0,no
مره واحد اشتري كلب لمراته قام الكلب عضها وماتت وفي العزا الصوان كان مليان رجاله واحد صاحبه قاله ياه كل دي رجاله جايه تعزي في مراتك الراجل قاله لا دول جايين يشترو الكلب باي تمن يكون,1,yes
محشش صايم اتصل علي قالو له عاوز تسمع ايه؟ قال مقطع من اذان المغرب,0,no
واحد ساكن في الطابق الخامس وبعد ما نزل الصبح افتكر انه نسي نظاره الشمس والمنديل فنادي علي زوجته وقالها ارمي النظاره والمنديل فرمت زوجته النظاره فانكسرت فقال لها خلي المنديل انا طالع اخذه,0,no
واحد اشترى شبشب جديد... راح عالبيت وقال لمراته: مش ملاحظة حاجة جديدة ؟ مراته : لا مش ملاحظة! قلع كل هدومه وفضل بالبوكسر والشبشب وقالها: ودلوقتي مش ملاحظة؟ الزوجة: لا ابدا!! قلع البوكسر وفضل بالشبشب وقال: ودلوقتي ؟؟ مراته : نايم كالعادة قالها: لا مش نايم يا حبيبتي... ده بيتفرج علي الشبشب الجديد!!! مراته : ومكنتش عارف تشتري طاقية بدل الشبشب؟,1,no
"دكتور  كان بيشرح محاضره في الجامعه ولسه بادئ قام حد صفر! سكت الدكتور قال مين صفر""!؟ محدش رد!! كمل شرح وقام صفر سكت وقال مين صفر!؟؟ محدش رد؟؟ وكمل شرح قام صفر !! قام حاطط القلم في الدفتر وقال المحاضره انتهت!! هقولكم حكايه بقي عني كله سامع ومنتبه !؟ قالهم في يوم متاخر مكنش جايلي نوم ونزلت اعبي العربيه  بنزين قامت واحده جميله معديه قولتلها ممكن اوصلك!!؟ قالتله ياريت ""وبعدين وانا في الطريق بوصلها قامت مدياني بوسه!! وقالتلي انا ليه اخ في الجامعه عندك عايزاك تاخد بالك منه قولتلها بستغراب اسمه ايه؟ ردت قالت هو عندك في المحاضره ودايما بيصفر!!! قاموا كلهم باصين علي اللي صفر!!",0,no
مره واحد اسكندرانى ماشى ع البحر لقى جماعه صعايده بيهتفوا : هريدى يابطل هريدى يا بطل ، ولما سأل عن السبب الصعايده قالوله احسن واحد عندكم يقدر يغطس قد ايه؟ الاسكندراني قالهم حوالي ٣ دقايق. قالوله : هريدي غطسان من 3 ايام ولسا مطلعش.,1,no
ركبت توكتوك من اول السوق قالى هاخد 20 قولتله ماشي وأنا ماشي في طريقنا قولتله اقف ثانيه  هنزل اودى السمك يتشوى هنا بس وديت السمك وحاسبت عليه ورجعت ركبت وقولتله يقف تانى لحظه انزل اشتري حاجات من السوبر ماركت ومكملش  دقيقه ووصلنى بديله ال20 جنيه يقولى لا يا استاذ هاخد 25 انا وقفت مرتين  قولتله هما ال  20جنيه قعد يقاوح روحت مدياله 15جنيه وقولتله ايه رأيك مش واخد الا 15 جنيه زيك زي اى توكتوك وطلعت البيت وبعد ساعه رايح اجيب السمك لقيتهم بيقولولى ما الاستاذ الى كان سايق التوكتوك استلمهولك,0,no
واحد عنده ديدان في بطنه ولف علي كل الدكاترة محدش عارف يعالجه ف قاعد مع واحد صاحبه قاله بص انا هقولك حاجة انت هتجيب بطيخة حمرا وحلوة وتقسمها اتنين وتقعد عليها هيقوم ملك الديدان نازل هيدوقها هيلاقيها حلوة هينده عليهم ويقولهم ي شباب انزلو ناكل فسمع كلامه فعلا وراح جاب البطيخة وقعد عليها راح ملك الديدان نزل داقها وراح نده علي الديدان وقالهم : يا شباب طلعوهالي فوق,1,no
مره واحد فى ليلة الدخلة بيقلع مراته الفستان فشافها لابسة قميص نوم اسود فسألها إنت لية لابسة اسود ؟ قالتله عشان امى متوفية بعد ما قلعت الفستان شافها لابسة برا سودة فسألها برضو لية لابسة برا سودة ؟ قالتله عشان ابويا متوفى، جه عشان يقلعها الإندر لقاه اسود فسألها لية لابسة اندر اسود ؟ قالتله عشان عمى متوفى ، جه الدور عليها وبتقلعه البنطلون فشافت بتـاعه ولاقته اسود فسألته إنت لية بتـاعك اسود؟ قالها : انا داخل اعزي,1,yes
مره واحد صعيدي سافر انجلترا وقف قدام تلاجه بيبس يحط عمله تنزلوا ازازه يحط عمله تنزلوا ازازه والناس واقفه وراه طوابير فعدي واحد تاني قالوا يا بلادينا ما تكسفناش سيب الناس تشرب حاجه راح قالوا والله العظيم طول مانا بكسب لا يمكن,1,no
مرة واحد راح لشيخ وقاله يا شيخنا انا بعمل حاجات حرام و عاوزك تساعدني أتوب ، ف الشيخ قاله يابني ربنا غفور رحيم بس انا عاوز اعرف انت عملت ايه بالظبط ؟ قاله أنا امبارح قولت كسم وزير الكهربا ، قاله يابني لا حرام عليك بس الحمد لله انها جات على قد كدا عملت حاجه تانيه ؟ قاله اه و بظبط نسوان حلوة ، ف الشيخ قاله بتظبطهم ازاي ؟ قاله بنفتح الكاميرا و بنقلع و بنعمل سكس ، قاله لا يابني دا كدا كتير ، قاله امبارح يا شيخنا كنت بكلم بنت جامدة اوي وفتحنا الكاميرا وكانت لابسه قميص شفاف ب زراير ف قولتلها افتحي الزراير ، قاله كمل يابني و بعدين حصل ايه ؟ قاله فتحت اول زرار و كان صدرها زي الملبن و فتحت تاني زرار كانت سرتها بتنور من البياض ف الشيخ قعد يعرق كدا قاله كمل يبني. قاله لسه بتفتح اخر زرار الشيخ قاله حصل ايه بسرعة ؟ قاله لسه بتفتحه الكهربا قطعت. الشيخ : يلعن كسم وزير الكهربا,1,yes
يحكى ان بخيل دعا يهودي فأراد أن يرغبه في الإسلام فقدم له طعاما.. قال اليهودي: هل دينكم يأمركم بإكرام الضيف؟ فرد البخيل: نعم، وأنتم؟ قال اليهودي: لا. فابستم البخيل واعتنق الديانة اليهودية.,1,no
اتنين في السوق بيدوروا على مرتاتهم عشان تاهوا من بعض فواحد بيسأل التاني : مراتك لابسة ايه؟  قال له : لابسه بلوزة قصيرة شفافة ، وبنطلون جينس ضيق وأنت مراتك لابسة إيه ؟ قاله : لا مش مهم تعالى ندور على مراتك,1,no
مره واحده جوزها كان مسافر وكانت عايزه تجيب عشيقها البيت وكان عندها تلت عشاق ، كلمت الاولاني قالتلوا تعالي جوزي نزل ، راح جه وجاب معاه طماطم واول ما دخل راح الباب مخبط قالتلوا يلاهوي جوزي جه خش الدولاب بسرعه ، فتحت الباب لقت عشيقها التاني وكان جايب معاه جزر واول ما دخل راح الباب مخبط تاني راحت قالتلوا خش الدولاب  بسرعه ، فتحت الباب لقت عشيقها التالت وكان جايب معاه لب واول ما دخل راح الباب مخبط تاني قالتلوا خش الدولاب بسرعه ، راحت تفتح لقت جوزها المرادي عالباب وشك فيها راح فاتح الدولاب ولقي التلاته جوا قالهم انا هسيبكوا تمشوا بس بشرط كل واحد جاب حاجه هحطهاله في طيزه. مسك الاولاني وكل ما يحطله طمطمايه يقول : اااااه، مسك التاني وكل ما يحطله جزرايه يقول : ااااااااااااه، مسك التالت وكل ما يحطله لبايه يقول : اه الحمد لله ، اه الحمد لله ، اه الحمد لله. راح جوزها قايله مالك بتقول كده ليه. قاله: اسكت انا كنت هاجيب قصب,1,yes
"واحد صاحب مزرعة ألبان بيعانى من الوحدة ففكر فى إستخدام مكنة حلب البقر عشان يمتع نفسه .. و بعدين ركب المكنة على بتاعه و قامت المكنة بالامتصاص لحد ما جابهم و المكنة فصلت .. بعد خمس دقائق بدأت المكنة تشتغل تاني .. خمس دقائق تاني و المكنة اشتغلت مرة تالتة .. لحد ما تعب مش قادر .. فحاول يقفل المكنة مش عارف جاب الكتاب بتاع المكنة وقرا التعليمات .. ""يفصل تلقائيا بعد 5 لتر""",1,yes
"راجل اسمه عيسى راح درس في امريكا واشتغل وبقي عنده شركه كبيره واغتني جدا 
بعت فيزة زياره لابوه الراجل البسيط.
الرااجل وصل المطار لقي مرسيدس بالسواق مستنياه واخده عشان يوصله عند ابنه عيسي 
عيسي كان ساكن في اكبر برج في نيويورك وصلوا باب الاسانسير وطلعوا فيه وفضل الاسانسير يطلع ويطلع 
ابوه عمال يتفرج من ازاز الاسانسير شاف المباني بتصغر والناس اختفت وهو لسه طالع 
شويه وبدء يشوف غيوم وسحاب ولسه الاسانسير بيطلع
 بص للسواق وقاله: هو انت مطلعني عند اي عيسى",0,no
بيقولك مرة واحد متجوز و مخلف و مكنش بيعرف يعمل واحد مع مراته بسبب ابنه ف اتفق معاها و قالها اما اعوز اعمل هقولك عاوز اغسل الهدوم ف الغساله ف قالتلو ماشي ، المهم جيه ف يوم و الراجل كان ع اخره ف راح ل مراته و قالها عاوز اغسل الهدوم ف الغساله بس الولية كانت مبضونه من جوزها راحت قالتله الغساله ف الصيانه. المهم جيه تاني يوم الولية كانت ع اخرها  راحت ل جوزها و قالتله تعالى اغسل هدومك ف الغساله الغساله اتصلحت خلاص راح جوزها قايلها: خلاص غسلت على ايدي,1,yes
اتنين طيارين راكبين طياره والميكروفون مفتوح واحد منهم قال للتاني احنا هنفطر ونعمل واحد مع المضيفه، المضيفه سمعتهم وجريت عشان تقفل المايك، اتكعبلت في ست عجوزه لفت وقالتلها: مستعجلة على ايه هما لسة بيفطروا,1,yes
مرة واحد بلدينا كان ملوش فيها وجه ليله فرحه، بيقول لابوه انا مش عارف هعمل ايه. ابوه قاله هتعرنا يابن الكلب، وبعدين قاله هتاخد اللاسلكي ده خليه معاك ف الدخله هقلك تعمل ايه. قاله ماشي. وفي ليله الدخله بيكلم ابوه علي اللاسلكي بيساله اعمل ايه؟ قاله هتقلعها هدومها. فقلعها هدومها. قاله تمام قلعتها. قام ابوه قاله اقـلع هدومك انت كمان. ف قاله قلعت. وبعدين قاله نيمها على ضهرها وافتح رجليها. قاله تمام. وبعدين راح قاله هتدخل حاجه كده عندي وعندك ومش عندها. فكر شويه وبعدها *قام مدخل اللاسلكي*,1,yes
"مرة واحد بضانة مقطوعة شغلوة في مصلحة حكومية ضمن نسبة المعاقين مدير المصلحة قالة احنا الشغل عندنا من 8 لغاية 4 انت هتيجي من 10 لـ 4 بس قالة ليه حضرتك انا ممكن أجي من 8 معاكم قالة اصل احنا بنقعد نلعب في بضاننا من 8 لـ 10 الصبح فمالوش لازمة تيجي بعد كام شهر المدير قالة انت من بكرة هتيجي معانا من 8 الصبح
قاله خلاص بطلتوا تلعبوا في بضانكم قاله لاء في واحد جه بضانة سليمة بس ايديه مقطوعة انت هتلعبله في بضانه",1,yes
"واحده راكبه قدام راجل فى القطر وبترضع إبنها و بتقوله إرضع يا رضا. الراجل أخد باله و إبتدأ يركز فى الموضوع و رضا مش عاوز يرضع. الوليه إبتدت تطلع بز و تدخل التانى و تدخل التانى وتطلع الاولانى و الواد مش عاوز يرضع
فقالتله: ها يا رضا حاترضع ولا أخلى عمو يرضع؟  الموضوع كبر فى دماغ الراجل. المهم القطر وصل ""سيدى جابر"" والوليه قامت وقالت للراجل:- عن إذنك عشان نازله هنا. فقالها:- يعني لا رضا رضع ولا انا نزلت في ""طنطا""",1,yes
